"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Ethnicity","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","age","vac_hes","child","news_opposite","new_ethnicity","new_region","origin_binomial","new_back_normal","new_finance_plan"
"278",284,1,1,1,1,1,1,2,5,4,5,4,4,4,2,2,1,6,5,4,4,5,5,80,2,3,2,1,1,1,2,3,4,4,4,2,2,3,1,3,1,65,1,1,5,3,20,2,1,9,5,18,0,2,3,93,1.14285714285714,4.33333333333333,1.66666666666667,4.8,1.66666666666667,2.5,"Male","pg","natural",36,1,"no",4,"other","south",1,"more12months",5
"279",285,2,1,1,2,1,2,2,5,4,4,4,3,4,2,4,2,5,3,1,4,4,5,85,2,4,2,1,2,2,1,3,3,2,2,1,1,4,1,2,1,15,1,1,3,4,13,1,1,10,3,1,5,1,2,80,1.57142857142857,4,2.66666666666667,3.4,2,1.83333333333333,"Female","below_ug","natural",29,1,"yes",3,"white","south",1,"less6months",5
"280",286,1,1,1,1,1,1,1,5,4,5,2,1,4,1,1,1,6,6,6,6,5,7,100,2,3,2,1,3,1,2,3,4,3,1,1,1,2,1,1,2,100,1,3,0,4,41,2,1,10,3,1,5,1,1,100,1,3.5,1,5.8,2,1.16666666666667,"Male","below_ug","not_sure",57,1,"yes",3,"white","south",0,"other",7
"281",287,3,2,3,3,2,2,3,5,4,5,4,4,5,4,5,3,3,3,3,3,3,3,80,2,3,3,4,2,4,3,1,2,3,2,2,1,2,1,2,1,40,1,1,1,3,44,1,1,3,5,1,5,1,3,41,2.57142857142857,4.5,4,3,3.16666666666667,1.66666666666667,"Female","pg","natural",60,1,"yes",4,"white","non_England",1,"less6months",3
"282",288,1,1,1,1,2,2,1,5,5,5,4,5,5,1,4,3,5,4,5,3,4,6,90,2,3,2,2,2,1,1,4,2,4,1,1,1,2,1,1,1,33,1,1,3,3,35,2,1,11,5,1,5,1,3,80,1.28571428571429,4.83333333333333,2.66666666666667,4.2,1.83333333333333,1.16666666666667,"Male","pg","natural",51,1,"yes",4,"white","south",1,"less6months",6
"283",289,3,2,3,3,2,2,3,3,3,3,4,4,4,3,5,4,5,4,2,4,4,8,65,1,3,2,2,3,2,3,2,3,4,2,2,3,4,1,3,2,90,1,1,0,5,22,2,1,11,5,1,5,1,3,59,2.57142857142857,3.5,4,3.8,2.5,2.5,"Male","pg","natural",38,1,"yes",2,"white","south",1,"other",0
"284",290,2,1,2,1,1,1,1,4,4,4,4,3,4,5,4,4,5,6,2,3,5,5,60,2,4,3,2,3,2,4,1,3,4,4,4,4,4,3,4,2,50,1,1,0,3,24,1,1,4,4,1,5,2,3,70,1.28571428571429,3.83333333333333,4.33333333333333,4.2,3,3.83333333333333,"Female","ug","natural",40,1,"no",4,"white","north",1,"other",5
"285",291,3,3,3,2,1,3,2,5,5,5,5,4,5,4,4,4,4,2,2,3,4,6,95,2,2,2,3,4,2,2,1,2,4,3,2,2,2,1,4,4,90,1,1,5,3,23,1,1,7,5,1,5,2,1,70,2.42857142857143,4.83333333333333,4,3,2.5,2.33333333333333,"Female","pg","natural",39,1,"no",4,"white","midlands",1,"more12months",6
"286",292,1,1,2,1,1,2,1,2,2,2,2,3,4,2,4,2,6,4,5,3,4,3,40,2,3,2,1,3,1,1,2,3,3,3,1,1,3,1,2,1,20,1,1,5,4,17,2,1,8,3,1,5,2,3,60,1.28571428571429,2.5,2.66666666666667,4.4,1.83333333333333,1.83333333333333,"Male","below_ug","natural",33,1,"no",3,"white","midlands",1,"more12months",3
"287",293,2,2,3,2,3,2,2,4,4,3,4,4,5,4,3,1,4,4,3,2,3,3,50,1,2,3,1,2,2,2,3,1,4,3,1,2,4,1,1,1,85,1,1,0,5,29,2,1,10,3,1,5,1,3,90,2.28571428571429,4,2.66666666666667,3.2,2,2,"Male","below_ug","natural",45,1,"yes",2,"white","south",1,"other",3
"288",294,1,1,1,1,1,1,1,2,4,4,2,4,4,2,4,1,3,2,3,4,2,5,54,2,4,3,1,2,1,3,3,4,5,3,3,3,3,1,4,1,58,1,1,5,4,54,1,1,5,4,1,5,1,3,80,1,3.33333333333333,2.33333333333333,2.8,2.33333333333333,2.83333333333333,"Female","ug","natural",70,1,"yes",3,"white","north",1,"more12months",5
"289",295,2,2,2,2,2,1,2,2,4,4,2,4,4,4,4,5,5,3,4,5,4,8,49,1,2,2,2,3,3,2,2,2,4,1,1,1,1,1,1,1,84,1,1,5,3,39,1,1,11,4,1,5,1,3,71,1.85714285714286,3.33333333333333,4.33333333333333,4.2,2.33333333333333,1,"Female","ug","natural",55,1,"yes",4,"white","south",1,"more12months",0
"290",296,3,2,3,2,3,1,1,2,3,2,2,5,5,3,4,4,4,4,1,5,3,4,60,1,2,3,1,1,2,1,1,3,3,4,4,2,4,1,3,1,25,1,1,5,4,47,1,1,11,3,1,5,1,3,10,2.14285714285714,3.16666666666667,3.66666666666667,3.4,1.66666666666667,3,"Female","below_ug","natural",63,1,"yes",3,"white","south",1,"more12months",4
"291",297,1,2,2,1,1,1,1,3,3,3,2,4,4,1,2,2,5,5,3,5,5,2,80,2,2,1,1,3,2,2,2,3,3,2,4,3,4,1,2,2,50,1,1,5,4,38,1,1,11,5,1,5,1,3,74,1.28571428571429,3.16666666666667,1.66666666666667,4.6,1.83333333333333,2.66666666666667,"Female","pg","natural",54,1,"yes",3,"white","south",1,"more12months",2
"292",298,2,2,2,2,1,1,2,2,2,2,2,4,3,2,4,3,4,3,2,5,3,6,50,2,4,4,3,4,3,4,2,2,4,4,4,4,4,2,4,2,80,1,1,5,2,38,1,1,5,4,1,5,1,3,75,1.71428571428571,2.5,3,3.4,3.66666666666667,3.66666666666667,"Female","ug","natural",54,1,"yes",5,"white","north",1,"more12months",6
"293",299,2,1,2,4,2,1,1,4,5,4,4,4,5,4,4,2,4,4,3,4,4,5,54,2,4,3,1,4,2,4,4,4,5,4,4,4,4,1,4,2,15,1,1,5,3,41,1,1,5,4,1,5,1,3,91,1.85714285714286,4.33333333333333,3.33333333333333,3.8,3,3.5,"Female","ug","natural",57,1,"yes",4,"white","north",1,"more12months",5
"294",300,4,2,3,4,1,3,2,3,5,3,4,4,3,3,4,2,3,3,3,3,3,3,50,2,3,3,3,2,3,2,1,4,4,1,1,1,3,1,1,2,35,3,1,4,2,25,2,1,10,5,1,6,2,2,20,2.71428571428571,3.66666666666667,3,3,2.66666666666667,1.33333333333333,"Male","pg","natural",41,0,"no",5,"other","south",1,"6to12months",3
"295",301,4,2,3,4,3,3,2,4,5,4,3,2,5,5,5,4,6,6,5,5,5,3,95,1,2,3,1,1,4,1,3,3,3,2,1,2,4,1,3,1,25,1,3,0,3,18,1,1,7,4,1,5,1,3,100,3,3.83333333333333,4.66666666666667,5.4,2,2.16666666666667,"Female","ug","not_sure",34,1,"yes",4,"white","midlands",0,"other",3
"296",302,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,3,4,2,4,6,3,1,81,1,4,4,2,2,2,2,2,3,3,3,3,2,4,1,4,1,35,1,1,4,2,31,1,1,5,4,1,5,1,3,54,1.85714285714286,2.16666666666667,2.66666666666667,3.8,2.66666666666667,2.83333333333333,"Female","ug","natural",47,1,"yes",5,"white","north",1,"6to12months",1
"297",303,1,1,1,1,1,1,1,3,3,3,4,3,5,1,1,1,5,5,5,5,5,8,50,1,3,1,1,3,2,4,1,2,4,2,2,1,3,1,2,1,50,1,3,5,4,14,1,1,5,5,20,0,2,2,100,1,3.5,1,5,2.33333333333333,1.83333333333333,"Female","pg","not_sure",30,1,"no",3,"other","north",0,"more12months",0
"298",304,4,1,4,1,1,4,4,5,5,5,3,3,5,5,5,3,2,3,2,4,2,7,0,2,3,4,1,4,4,4,1,1,3,4,4,3,3,1,4,1,96,3,2,5,2,45,2,1,5,3,1,5,1,3,51,2.71428571428571,4.33333333333333,4.33333333333333,2.6,3.33333333333333,3.16666666666667,"Male","below_ug","artificial",61,0,"yes",5,"white","north",0,"more12months",7
"299",305,2,2,2,2,1,2,2,3,3,3,3,4,4,1,3,3,5,5,3,4,5,4,50,1,3,2,2,2,1,1,1,3,3,1,1,1,3,1,3,1,44,3,1,4,4,31,1,1,11,5,7,5,2,1,21,1.85714285714286,3.33333333333333,2.33333333333333,4.4,1.83333333333333,1.66666666666667,"Female","pg","natural",47,0,"no",3,"white","south",1,"6to12months",4
"300",306,2,1,3,2,4,3,2,4,5,4,4,4,4,1,3,1,3,3,3,4,3,3,75,2,3,3,2,2,2,1,1,2,4,1,1,1,2,1,1,1,40,1,1,5,3,43,2,1,5,4,1,5,1,3,50,2.42857142857143,4.16666666666667,1.66666666666667,3.2,2.16666666666667,1.16666666666667,"Male","ug","natural",59,1,"yes",4,"white","north",1,"more12months",3
"301",307,1,1,1,1,1,1,1,5,5,5,5,5,5,2,1,1,5,4,3,4,3,7,35,2,1,3,1,2,1,1,1,2,4,1,1,1,1,1,1,1,12,1,1,4,4,37,2,1,11,4,1,5,1,3,30,1,5,1.33333333333333,3.8,1.5,1,"Male","ug","natural",53,1,"yes",3,"white","south",1,"6to12months",7
"302",308,3,3,4,3,1,3,1,5,5,4,3,4,5,3,5,4,4,5,2,4,4,6,50,2,3,2,3,2,3,1,2,3,4,1,1,1,2,1,1,1,26,1,3,4,3,35,3,1,11,5,1,0,1,3,72,2.57142857142857,4.33333333333333,4,3.8,2.33333333333333,1.16666666666667,"Other","pg","not_sure",51,1,"yes",4,"other","south",0,"6to12months",6
"303",309,2,1,2,2,1,1,2,2,2,2,1,4,4,2,2,2,3,3,3,6,3,3,50,2,3,2,2,2,1,2,1,3,3,2,1,1,2,1,2,1,50,3,1,3,5,31,1,1,12,4,11,5,1,3,65,1.57142857142857,2.5,2,3.6,2,1.5,"Female","ug","natural",47,0,"yes",2,"white","south",1,"less6months",3
"304",310,2,3,3,2,2,4,2,4,4,3,4,3,1,2,5,2,6,3,5,4,3,2,100,1,2,2,1,1,3,1,2,2,3,4,4,3,4,3,3,1,50,1,2,3,6,51,1,1,11,3,1,5,2,1,90,2.57142857142857,3.16666666666667,3,4.2,1.66666666666667,3.5,"Female","below_ug","artificial",67,1,"no",1,"white","south",0,"less6months",2
"305",311,3,2,2,3,2,2,2,3,3,3,1,5,3,1,2,4,3,3,1,2,3,1,20,1,4,3,4,4,2,4,1,2,5,4,1,4,4,1,1,1,10,3,3,0,5,45,4,1,5,3,1,6,1,3,10,2.28571428571429,3,2.33333333333333,2.4,3.5,2.5,"Other","below_ug","not_sure",61,0,"yes",2,"other","north",0,"other",1
"306",312,2,2,2,2,1,2,1,4,3,4,4,5,4,4,4,4,4,4,3,4,4,5,80,1,3,3,4,2,3,3,3,4,4,2,1,1,2,1,2,1,25,1,3,5,3,38,1,1,11,4,1,5,1,3,59,1.71428571428571,4,4,3.8,3,1.5,"Female","ug","not_sure",54,1,"yes",4,"white","south",0,"more12months",5
"307",313,1,1,1,1,1,1,2,2,4,2,4,3,4,1,4,1,5,5,5,5,5,2,80,1,2,2,1,2,2,2,3,3,4,2,2,2,4,1,2,1,80,1,3,5,4,36,1,1,8,5,1,5,1,3,80,1.14285714285714,3.16666666666667,2,5,1.83333333333333,2.16666666666667,"Female","pg","not_sure",52,1,"yes",3,"white","midlands",0,"more12months",2
"308",314,3,2,1,2,1,2,2,4,4,4,3,4,5,5,5,2,4,5,3,6,4,3,70,1,3,4,1,3,4,4,3,2,4,1,1,1,4,1,1,1,20,1,3,5,3,43,1,1,10,4,1,5,1,3,100,1.85714285714286,4,4,4.4,3.16666666666667,1.5,"Female","ug","not_sure",59,1,"yes",4,"white","south",0,"more12months",3
"309",315,1,1,1,1,1,2,1,3,3,4,1,1,4,4,4,1,4,6,6,6,4,3,87,2,2,2,3,2,1,2,3,3,4,4,4,4,4,1,4,4,75,1,1,5,4,28,1,1,10,4,1,5,1,3,40,1.14285714285714,2.66666666666667,3,5.2,2,3.5,"Female","ug","natural",44,1,"yes",3,"white","south",1,"more12months",3
"310",316,3,3,3,3,2,1,2,2,2,2,3,4,4,1,4,2,4,3,3,4,3,2,50,2,3,3,2,2,3,3,3,3,4,4,4,3,4,1,4,2,50,1,2,0,4,32,1,1,8,3,1,5,1,3,70,2.42857142857143,2.83333333333333,2.33333333333333,3.4,2.66666666666667,3.33333333333333,"Female","below_ug","artificial",48,1,"yes",3,"white","midlands",0,"other",2
"311",317,2,1,2,2,1,2,2,2,3,2,3,4,4,2,4,2,5,5,5,5,5,8,100,1,3,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,12,3,1,4,5,39,1,1,10,3,1,5,1,3,100,1.71428571428571,3,2.66666666666667,5,1.66666666666667,1,"Female","below_ug","natural",55,0,"yes",2,"white","south",1,"6to12months",0
"312",318,1,1,1,1,1,1,1,3,4,2,3,5,5,1,1,1,6,5,5,6,5,8,26,2,4,2,1,4,1,1,1,3,3,4,4,4,4,1,4,3,82,1,3,5,3,36,2,1,10,5,1,5,1,3,100,1,3.66666666666667,1,5.4,2.16666666666667,3.5,"Male","pg","not_sure",52,1,"yes",4,"white","south",0,"more12months",0
"313",319,1,1,1,1,1,2,1,3,4,4,3,4,4,1,2,2,4,4,4,4,4,7,82,2,2,1,2,1,1,1,3,4,3,1,1,1,3,1,1,1,26,3,1,4,4,36,1,1,11,4,1,5,2,3,72,1.14285714285714,3.66666666666667,1.66666666666667,4,1.33333333333333,1.33333333333333,"Female","ug","natural",52,0,"no",3,"white","south",1,"6to12months",7
"314",320,1,1,1,1,1,1,1,4,4,4,2,4,4,2,4,1,5,5,3,4,4,5,90,2,2,2,1,2,2,1,2,4,3,1,1,1,3,1,1,1,89,1,1,4,4,51,2,1,5,4,1,5,1,4,64,1,3.66666666666667,2.33333333333333,4.2,1.66666666666667,1.33333333333333,"Male","ug","natural",67,1,"yes",3,"white","north",1,"6to12months",5
"315",321,2,2,2,2,1,1,2,4,3,2,2,4,4,2,2,2,5,5,3,5,5,5,55,2,4,2,1,2,2,2,2,3,2,3,3,1,3,1,3,2,60,1,1,0,4,46,1,1,11,4,1,5,1,3,85,1.71428571428571,3.16666666666667,2,4.6,2.16666666666667,2.33333333333333,"Female","ug","natural",62,1,"yes",3,"white","south",1,"other",5
"316",322,1,1,1,3,1,2,1,4,4,4,4,4,4,2,4,2,5,5,4,5,5,5,75,1,3,2,4,3,2,3,4,4,4,1,1,1,3,1,1,1,50,1,1,5,4,33,1,1,11,5,1,5,1,3,50,1.42857142857143,4,2.66666666666667,4.8,2.83333333333333,1.33333333333333,"Female","pg","natural",49,1,"yes",3,"white","south",1,"more12months",5
"317",323,1,1,1,2,1,1,1,2,2,4,4,4,4,1,1,2,3,5,6,5,5,6,80,2,2,2,1,3,1,1,4,4,3,3,2,3,4,1,3,1,32,1,1,5,5,38,2,1,10,4,1,5,1,3,83,1.14285714285714,3.33333333333333,1.33333333333333,4.8,1.66666666666667,2.66666666666667,"Male","ug","natural",54,1,"yes",2,"white","south",1,"more12months",6
"318",324,3,2,1,2,2,2,3,2,4,2,2,4,4,2,5,2,5,4,3,3,5,2,49,2,2,2,1,3,3,3,2,2,4,4,4,3,4,1,4,2,61,1,1,5,2,24,1,1,10,5,1,5,1,3,30,2.14285714285714,3,3,4,2.33333333333333,3.33333333333333,"Female","pg","natural",40,1,"yes",5,"white","south",1,"more12months",2
"319",325,2,1,2,2,2,2,1,2,2,4,2,4,4,5,2,1,6,3,6,2,6,3,100,1,4,3,4,2,3,1,3,3,3,4,4,3,4,1,4,1,50,1,1,0,4,38,2,1,10,4,1,5,2,3,50,1.71428571428571,3,2.66666666666667,4.6,2.83333333333333,3.33333333333333,"Male","ug","natural",54,1,"no",3,"white","south",1,"other",3
"320",326,1,1,1,2,2,1,1,1,1,3,4,2,1,1,1,1,6,6,6,6,6,1,47,2,2,2,2,2,1,1,2,2,4,1,1,1,1,1,1,1,51,1,2,3,6,32,2,1,10,5,1,5,1,3,50,1.28571428571429,2,1,6,1.66666666666667,1,"Male","pg","artificial",48,1,"yes",1,"white","south",0,"less6months",1
"321",327,2,1,1,2,1,1,1,3,5,3,4,2,4,3,4,3,4,4,3,6,3,2,99,2,2,2,1,1,2,2,2,3,4,4,4,3,3,1,4,1,24,1,1,5,4,50,1,1,11,4,1,5,2,3,86,1.28571428571429,3.5,3.33333333333333,4,1.66666666666667,3.16666666666667,"Female","ug","natural",66,1,"no",3,"white","south",1,"more12months",2
"322",328,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,1,6,6,2,6,6,5,50,1,2,3,4,3,2,1,2,4,5,2,2,2,4,1,2,1,20,1,3,4,4,34,1,1,11,4,1,5,1,3,40,1,5,3,5.2,2.5,2.16666666666667,"Female","ug","not_sure",50,1,"yes",3,"white","south",0,"6to12months",5
"323",329,1,1,1,1,1,1,1,3,4,4,4,4,5,2,4,2,4,5,3,4,5,3,90,2,2,2,4,2,2,3,4,4,5,4,4,1,4,2,3,1,10,1,1,5,4,43,1,1,11,4,1,5,1,3,50,1,4,2.66666666666667,4.2,2.5,3,"Female","ug","natural",59,1,"yes",3,"white","south",1,"more12months",3
"324",330,2,2,2,3,2,1,4,4,1,5,4,5,5,5,5,1,4,4,1,6,6,5,0,1,4,4,2,4,3,1,1,1,3,4,1,1,4,1,2,4,100,1,2,0,5,33,1,1,11,3,1,0,1,1,100,2.28571428571429,4,3.66666666666667,4.2,3,2.16666666666667,"Female","below_ug","artificial",49,1,"yes",2,"other","south",0,"other",5
"325",331,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,4,3,3,3,5,3,6,51,2,4,3,2,2,2,2,3,3,3,1,1,1,3,1,1,1,100,1,1,5,4,44,1,1,10,3,1,5,2,3,79,1.85714285714286,2.16666666666667,2.66666666666667,3.4,2.5,1.33333333333333,"Female","below_ug","natural",60,1,"no",3,"white","south",1,"more12months",6
"326",332,3,2,3,2,3,3,3,4,2,2,4,3,4,4,4,4,3,3,2,3,3,2,74,2,3,3,4,3,3,3,4,4,4,4,4,4,4,3,4,1,52,1,2,5,4,44,1,1,9,3,1,5,1,3,47,2.71428571428571,3.16666666666667,4,2.8,3.16666666666667,3.83333333333333,"Female","below_ug","artificial",60,1,"yes",3,"white","south",0,"more12months",2
"327",333,1,1,1,1,1,1,1,4,4,2,4,5,4,1,1,1,3,5,6,6,3,6,98,2,2,1,2,3,1,1,2,4,4,2,2,2,4,1,4,1,30,3,1,5,5,25,1,1,11,4,1,5,1,3,95,1,3.83333333333333,1,4.6,1.66666666666667,2.5,"Female","ug","natural",41,0,"yes",2,"white","south",1,"more12months",6
"328",334,1,2,2,1,1,2,1,4,4,4,4,4,4,3,4,3,3,5,3,5,3,6,89,2,3,3,1,3,2,2,2,4,4,1,1,1,3,1,1,1,52,1,1,4,3,43,1,1,11,4,1,5,1,3,71,1.42857142857143,4,3.33333333333333,3.8,2.33333333333333,1.33333333333333,"Female","ug","natural",59,1,"yes",4,"white","south",1,"6to12months",6
"329",335,1,1,2,2,2,2,1,4,4,2,1,4,4,4,4,2,4,3,3,4,2,4,90,2,2,1,2,2,2,2,4,2,3,4,4,3,4,1,2,3,40,1,2,5,4,28,1,1,10,3,1,5,1,3,70,1.57142857142857,3.16666666666667,3.33333333333333,3.2,1.83333333333333,3,"Female","below_ug","artificial",44,1,"yes",3,"white","south",0,"more12months",4
"330",336,1,1,1,1,1,2,1,4,4,4,4,3,3,4,4,3,4,4,3,4,4,2,65,1,3,2,2,3,1,1,4,2,4,1,1,1,2,1,1,1,65,1,3,4,4,11,1,1,8,4,1,5,2,3,100,1.14285714285714,3.66666666666667,3.66666666666667,3.8,2,1.16666666666667,"Female","ug","not_sure",27,1,"no",3,"white","midlands",0,"6to12months",2
"331",337,2,1,1,2,2,2,1,5,4,4,4,4,5,4,5,2,4,3,5,4,3,5,88,1,4,2,1,4,2,3,2,2,4,4,4,4,4,1,4,3,50.5278048780488,1,1,4,4,19,1,1,11,5,1,5,2,3,76,1.57142857142857,4.33333333333333,3.66666666666667,3.8,2.66666666666667,3.5,"Female","pg","natural",35,1,"no",3,"white","south",1,"6to12months",5
"332",338,1,1,1,1,1,2,1,2,2,2,3,4,4,4,3,2,4,6,5,4,6,3,71,2,3,2,2,1,1,1,1,2,2,2,3,2,3,1,2,1,40,1,3,5,5,21,1,1,10,4,1,5,1,3,30,1.14285714285714,2.83333333333333,3,5,1.66666666666667,2.16666666666667,"Female","ug","not_sure",37,1,"yes",2,"white","south",0,"more12months",3
"333",339,3,2,1,3,1,4,1,4,4,3,3,5,4,1,4,5,5,4,2,2,3,3,75,1,4,3,2,3,3,2,1,3,3,4,2,4,2,1,3,1,50,1,1,5,4,14,2,1,9,4,1,5,2,3,23,2.14285714285714,3.83333333333333,3.33333333333333,3.2,2.83333333333333,2.66666666666667,"Male","ug","natural",30,1,"no",3,"white","south",1,"more12months",3
"334",340,2,2,2,2,1,2,1,5,4,4,4,5,5,2,4,1,2,4,2,3,4,5,38,2,4,3,1,4,1,3,3,1,4,2,3,1,3,1,3,1,25,1,1,5,3,31,2,1,10,4,1,5,1,3,80,1.71428571428571,4.5,2.33333333333333,3,2.66666666666667,2.16666666666667,"Male","ug","natural",47,1,"yes",4,"white","south",1,"more12months",5
"335",341,1,1,1,1,1,1,1,5,4,5,4,4,5,4,4,3,5,5,2,3,4,3,50,1,3,3,1,2,2,2,1,3,3,4,4,3,4,1,4,1,25,3,1,5,4,43,1,1,11,4,1,5,2,1,75,1,4.5,3.66666666666667,3.8,2.16666666666667,3.33333333333333,"Female","ug","natural",59,0,"no",3,"white","south",1,"more12months",3
"336",342,3,2,3,2,1,3,3,4,4,4,3,2,5,4,5,4,5,5,2,4,5,3,33,1,4,4,2,2,3,4,1,4,5,4,3,4,4,1,4,2,14,1,1,5,3,24,3,1,1,4,1,5,2,3,25,2.42857142857143,3.66666666666667,4.33333333333333,4.2,3.16666666666667,3.33333333333333,"Other","ug","natural",40,1,"no",4,"white","non_England",1,"more12months",3
"337",343,2,2,2,2,1,2,2,5,3,5,3,4,5,4,4,2,3,3,2,4,3,3,76,1,3,2,4,2,3,3,1,2,5,4,4,3,4,1,3,4,30,1,3,4,5,9,1,1,7,5,1,5,2,3,50,1.85714285714286,4.16666666666667,3.33333333333333,3,2.83333333333333,3.16666666666667,"Female","pg","not_sure",25,1,"no",2,"white","midlands",0,"6to12months",3
"338",344,1,1,1,1,1,1,1,4,4,4,2,2,5,2,4,1,5,5,4,4,4,3,80,2,4,2,1,4,2,2,4,3,3,4,3,3,4,2,4,2,20,1,2,3,4,35,1,1,10,3,1,3,1,3,100,1,3.5,2.33333333333333,4.4,2.5,3.33333333333333,"Female","below_ug","artificial",51,1,"yes",3,"other","south",0,"less6months",3
"339",345,2,1,1,2,1,2,1,2,3,2,1,3,1,1,3,1,2,5,6,6,2,8,85,2,4,2,1,3,2,2,3,3,3,4,4,4,4,1,2,1,50,1,3,5,4,54,1,1,4,3,1,5,2,1,90,1.42857142857143,2,1.66666666666667,4.2,2.33333333333333,3.16666666666667,"Female","below_ug","not_sure",70,1,"no",3,"white","north",0,"more12months",0
"340",346,2,1,2,1,2,3,2,5,5,5,3,5,5,5,5,4,5,4,3,3,2,5,75,2,4,3,3,4,3,3,2,2,3,2,1,2,4,1,2,1,50,1,1,5,4,26,1,1,11,5,1,5,1,3,68,1.85714285714286,4.66666666666667,4.66666666666667,3.4,3.33333333333333,2,"Female","pg","natural",42,1,"yes",3,"white","south",1,"more12months",5
"341",347,2,2,2,2,4,2,1,5,5,5,4,4,5,5,5,4,3,4,3,2,4,5,100,2,3,2,1,4,2,4,4,4,3,3,4,4,4,1,1,1,61,3,1,4,4,14,1,1,10,4,1,5,2,3,100,2.14285714285714,4.66666666666667,4.66666666666667,3.2,2.66666666666667,2.83333333333333,"Female","ug","natural",30,0,"no",3,"white","south",1,"6to12months",5
"342",348,2,2,2,2,2,1,2,2,3,2,3,4,4,4,3,1,2,1,3,6,2,1,91,2,4,2,4,3,2,2,3,2,3,3,4,3,4,1,2,1,63,1,3,5,4,42,1,1,11,3,1,5,1,3,68,1.85714285714286,3,2.66666666666667,2.8,2.83333333333333,2.83333333333333,"Female","below_ug","not_sure",58,1,"yes",3,"white","south",0,"more12months",1
"343",349,3,3,4,3,3,2,3,3,3,3,3,5,5,4,5,2,4,4,2,3,4,1,70,2,4,2,4,4,3,4,2,3,4,4,4,3,4,1,4,1,67,1,1,4,4,46,1,1,10,3,1,5,1,3,36,3,3.66666666666667,3.66666666666667,3.4,3.5,3.33333333333333,"Female","below_ug","natural",62,1,"yes",3,"white","south",1,"6to12months",1
"344",350,3,2,4,3,1,2,1,4,3,5,3,3,5,4,5,4,5,3,3,5,3,5,100,2,4,2,1,3,2,3,3,3,4,3,2,2,4,1,4,1,50.5278048780488,1,1,5,4,14,1,1,10,5,1,5,2,3,100,2.28571428571429,3.83333333333333,4.33333333333333,3.8,2.5,2.66666666666667,"Female","pg","natural",30,1,"no",3,"white","south",1,"more12months",5
"345",351,3,4,3,3,2,2,1,5,5,5,3,3,5,5,5,4,4,3,2,3,2,4,84,2,3,2,3,3,3,2,2,3,4,2,2,1,4,1,2,2,62,1,3,5,3,31,1,1,10,3,7,5,1,3,45,2.57142857142857,4.33333333333333,4.66666666666667,2.8,2.66666666666667,2,"Female","below_ug","not_sure",47,1,"yes",4,"white","south",0,"more12months",4
"346",352,1,1,1,2,1,4,2,4,2,3,2,3,4,4,4,4,3,3,2,4,2,1,100,2,4,3,3,2,3,4,1,2,4,4,3,3,4,1,4,2,81,3,3,4,3,27,1,1,11,5,1,5,1,3,61,1.71428571428571,3,4,2.8,3.16666666666667,3.16666666666667,"Female","pg","not_sure",43,0,"yes",4,"white","south",0,"6to12months",1
"347",353,2,2,2,2,1,2,2,4,2,4,1,2,4,4,5,4,3,2,3,5,2,8,39,2,4,3,3,2,2,2,1,2,3,2,2,2,4,2,3,3,93,1,1,5,2,32,1,1,10,5,0,5,2,1,100,1.85714285714286,2.83333333333333,4.33333333333333,3,2.66666666666667,2.5,"Female","pg","natural",48,1,"no",5,"white","south",1,"more12months",0
"348",354,2,2,3,2,3,4,1,4,4,5,3,2,3,4,4,3,3,3,2,4,3,2,81,2,2,2,3,2,3,2,2,3,3,1,2,1,2,1,1,1,40,1,1,3,3,26,1,1,11,5,1,5,1,3,70,2.42857142857143,3.5,3.66666666666667,3,2.33333333333333,1.33333333333333,"Female","pg","natural",42,1,"yes",4,"white","south",1,"less6months",2
"349",355,2,1,2,2,1,2,1,4,4,4,3,3,4,3,4,4,4,4,3,5,4,3,64,1,3,2,1,2,3,2,2,2,4,3,1,1,3,1,2,3,86,1,1,5,5,25,1,1,11,5,1,5,2,3,71,1.57142857142857,3.66666666666667,3.66666666666667,4,2.16666666666667,1.83333333333333,"Female","pg","natural",41,1,"no",2,"white","south",1,"more12months",3
"350",356,2,1,2,1,1,1,2,5,4,5,3,4,4,2,2,1,6,6,3,5,4,3,88,2,3,2,2,3,2,3,4,3,3,2,2,2,1,1,2,1,42,1,1,5,4,56,1,1,10,3,1,5,1,3,80,1.42857142857143,4.16666666666667,1.66666666666667,4.8,2.5,1.66666666666667,"Female","below_ug","natural",72,1,"yes",3,"white","south",1,"more12months",3
